"Community","County","Region","Community Population (2010)","CEC Designation Status","Advanced (v3.0) Designation","Community Size","Points Achieved","List of Completed High Impact Actions","Count of Completed High Impact Actions"
"Town of Skaneateles","Onondaga","Central New York","7,112","Designated CEC","2-Star","Medium community","3,100","• Benchmarking - Municipal Buildings (100 points) - 1/4/2017 
 • CDG Subscription (300 points) - 3/5/2024 
 • Clean Fleets (100 points) - 4/24/2017 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 5/26/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 8/1/2017 
 • Host Clean Energy Generation Installation on Municipal Property - Tier 1 (400 points) - 8/6/2024 
 • Host Clean Energy Generation Installation on Municipal Property - Tier 2 (500 points) - 8/6/2024 
 • Host Clean Energy Generation Installation on Municipal Property - Tier 3 (600 points) - 8/6/2024 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 9/17/2021 
 • Unified Solar Permit (200 points) - 1/4/2017","10"
"Town of Smithfield","Madison","Central New York","1,127","Designated CEC","","Small community","1,100","• Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 10/26/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 2/23/2022 
 • Unified Solar Permit (200 points) - 2/23/2022","4"
"Town of Smithtown","Suffolk","Long Island","116,296","Designated CEC","","Large community","1,000","• Clean Fleets (100 points) - 10/20/2016 
 • Energy Code Enforcement Training - V.1 (0 points) - 11/23/2016 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 10/20/2016 
 • Unified Solar Permit (200 points) - 10/17/2016","4"
"Town of Smithville","Chenango","Southern Tier","1,255","Not Designated","1-Star","Small community","1,700","• Energy Code Enforcement Training (300 points) - 4/10/2024 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 12/9/2022 
 • Municipal Building Demos: Clean Heating and Cooling - Tier 1 (700 points) - 10/1/2024","3"
"Town of Sodus","Wayne","Finger Lakes","8,028","Not Designated","","Medium community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2021","1"
"Town of Solon","Cortland","Central New York","1,063","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 10/11/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 6/14/2018","2"
"Town of Somers","Westchester","Mid-Hudson","21,541","Designated CEC","1-Star","Medium community","2,000","• Benchmarking - Municipal Buildings (100 points) - 4/24/2017 
 • Clean Fleets (100 points) - 3/17/2017 
 • Community Campaigns - Community Solar - Tier 1 (200 points) - 5/28/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/9/2022 
 • NYStretch Energy Code (1200 points) - 11/16/2022 
 • Solarize (0 points) - 4/24/2017 
 • Unified Solar Permit (200 points) - 3/17/2017","7"
"Town of Southampton","Suffolk","Long Island","69,036","Designated CEC","4-Star","Large community","7,200","• Clean Fleets (100 points) - 4/4/2017 
 • Clean Heating and Cooling Demo (700 points) - 1/18/2022 
 • Climate Smart Communities Certification - Bronze (600 points) - 11/6/2017 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 8/1/2022 
 • Community Campaigns - Community Solar - Tier 1 (200 points) - 10/15/2024 
 • Community Campaigns - Community Solar - Tier 2 (300 points) - 10/15/2024 
 • Community Campaigns - Community Solar - Tier 3 (500 points) - 10/15/2024 
 • Community Campaigns - Electric Vehicles (200 points) - 10/28/2022 
 • Community Campaigns - Electric Vehicles - Tier 2 (300 points) - 10/15/2024 
 • DC Fast Charging Stations - Tier 1 (500 points) - 4/16/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 1/18/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 2/16/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 12/21/2021 
 • Level 2 Charging Stations - Tier 1 (200 points) - 4/16/2024 
 • Light-Duty Electric Vehicles - Tier 1 (300 points) - 4/16/2024 
 • Light-Duty Electric Vehicles - Tier 2 (500 points) - 5/21/2024 
 • NYStretch Energy Code (1200 points) - 2/3/2022 
 • Solarize (0 points) - 3/3/2017 
 • Unified Solar Permit (200 points) - 12/12/2016","19"
"Town of Southeast","Putnam","Mid-Hudson","18,058","Not Designated","","Medium community","1,100","• Energy Code Enforcement Training - Leadership Round (200 points) - 10/11/2022 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 8/17/2023 
 • LED Street Lights - Decorative Fixtures (200 points) - 9/5/2023","3"
"Town of Southold","Suffolk","Long Island","23,732","Designated CEC","","Medium community","400","• Benchmarking - Municipal Buildings (100 points) - 1/4/2017 
 • Clean Fleets (100 points) - 11/1/2016 
 • Energy Code Enforcement Training - V.1 (0 points) - 2/23/2017 
 • Unified Solar Permit (200 points) - 11/1/2016","4"
"Town of Southport","Chemung","Southern Tier","9,691","Not Designated","","Medium community","0","• Energy Code Enforcement Training - V.1 (0 points) - 8/27/2018","1"
"Town of Spafford","Onondaga","Central New York","1,588","Not Designated","","Small community","0","• Energy Code Enforcement Training - V.1 (0 points) - 4/26/2018","1"
"Town of Spencer","Tioga","Southern Tier","2,968","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 9/22/2023","1"
"Town of Springport","Cayuga","Central New York","2,227","Not Designated","","Small community","0","• Energy Code Enforcement Training - V.1 (0 points) - 4/26/2018","1"
"Town of St. Armand","Essex","North Country","1,446","Designated CEC","2-Star","Small community","3,100","• Benchmarking - Advanced Reporting (300 points) - 4/10/2024 
 • Benchmarking - Municipal Buildings (100 points) - 7/27/2018 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 4/10/2024 
 • CDG Subscription (300 points) - 4/10/2024 
 • Clean Energy Generation Installation Owned by Municipality Tier 1 (600 points) - 3/19/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 1 (500 points) - 6/26/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/26/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 7/27/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 2/9/2021 
 • Municipal Clean Fleets Inventory (200 points) - 4/10/2024 
 • Solarize (0 points) - 8/27/2018 
 • Unified Solar Permit (200 points) - 7/27/2018","12"
"Town of Stanford","Dutchess","Mid-Hudson","3,682","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 11/16/2022","1"
"Town of Starkey","Yates","Finger Lakes","3,407","Designated CEC","","Small community","400","• Benchmarking - Municipal Buildings (100 points) - 6/20/2017 
 • Clean Fleets (100 points) - 6/20/2017 
 • Energy Code Enforcement Training - V.1 (0 points) - 6/29/2017 
 • Unified Solar Permit (200 points) - 6/20/2017","4"
"Town of Stephentown","Rensselaer","Capital Region","2,791","Designated CEC","1-Star","Small community","1,700","• CDG Subscription (300 points) - 9/30/2024 
 • Community Campaigns - Community Solar - Tier 1 (200 points) - 2/13/2024 
 • Community Campaigns - Community Solar - Tier 2 (300 points) - 4/10/2024 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 6/13/2023 
 • Municipal Clean Fleets Inventory (200 points) - 4/16/2024","5"
"Town of Sterling","Cayuga","Central New York","3,221","Designated CEC","","Small community","1,000","• Benchmarking - Municipal Buildings (100 points) - 1/10/2019 
 • Clean Energy Upgrades (500 points) - 3/11/2019 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/11/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/10/2018 
 • Unified Solar Permit (200 points) - 1/10/2019","5"
"Town of Stockton","Chautauqua","Western New York","2,044","Designated CEC","","Small community","400","• Benchmarking - Municipal Buildings (100 points) - 3/13/2018 
 • Clean Fleets (100 points) - 3/20/2018 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/10/2018 
 • Unified Solar Permit (200 points) - 3/13/2018","4"
"Town of Stratford","Fulton","Mohawk Valley","538","Designated CEC","1-Star","Small community","2,700","• Benchmarking - Advanced Reporting (300 points) - 11/5/2024 
 • Benchmarking - Municipal Buildings (100 points) - 9/6/2022 
 • Clean Energy Upgrades - Tier 1 (500 points) - 11/13/2024 
 • Clean Energy Upgrades -Tier 2 (200 points) - 11/13/2024 
 • Clean Energy Upgrades -Tier 3 (300 points) - 11/13/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 1/31/2023 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 9/6/2022 
 • Municipal Clean Fleets Inventory (200 points) - 2/13/2024 
 • Unified Solar Permit (200 points) - 9/6/2022","9"
"Town of Stuyvesant","Columbia","Capital Region","1,931","Designated CEC","1-Star","Small community","1,500","• Benchmarking - Advanced Reporting (300 points) - 5/21/2024 
 • Benchmarking - Municipal Buildings (100 points) - 11/1/2023 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 6/4/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 1/31/2023 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 10/11/2023 
 • Unified Solar Permit (200 points) - 3/15/2023","6"
"Town of Summerhill","Cayuga","Central New York","1,108","Not Designated","","Small community","0","• Energy Code Enforcement Training - V.1 (0 points) - 11/6/2018","1"
"Town of Sweden","Monroe","Finger Lakes","13,244","Not Designated","","Medium community","0","• Energy Code Enforcement Training - V.1 (0 points) - 3/20/2018","1"
"Town of Taghkanic","Columbia","Capital Region","1,231","Designated CEC","2-Star","Small community","3,700","• (Retired) Benchmarking - Advanced Reporting (200 points) - 12/9/2022 
 • Benchmarking - Municipal Buildings (100 points) - 12/4/2018 
 • Clean Energy Upgrades (500 points) - 11/1/2023 
 • Clean Energy Upgrades -Tier 2 (200 points) - 3/5/2024 
 • Clean Energy Upgrades -Tier 3 (300 points) - 3/26/2024 
 • Clean Heating and Cooling Demo (700 points) - 12/9/2022 
 • Climate Smart Communities Certification - Bronze (600 points) - 3/15/2023 
 • Community Campaigns - Clean Heating and Cooling - Tier 1 (500 points) - 2/9/2024 
 • Community Campaigns - Community Solar (200 points) - 2/15/2022 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/11/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 5/14/2019 
 • Unified Solar Permit (200 points) - 3/29/2022","12"
"Town of Theresa","Jefferson","North Country","2,648","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 11/4/2021","1"
"Town of Thompson","Sullivan","Mid-Hudson","16,550","Designated CEC","1-Star","Medium community","1,300","• 50% Conversion of Decorative Streetlights (200 points) - 7/2/2024 
 • Benchmarking - Municipal Buildings (100 points) - 4/10/2018 
 • Clean Fleets (100 points) - 2/6/2018 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/28/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/26/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 11/16/2022","6"
"Town of Throop","Cayuga","Central New York","1,831","Not Designated","","Small community","700","• LED Street Lights - Cobra Head Fixtures (700 points) - 7/8/2019","1"
"Town of Thurston","Steuben","Southern Tier","1,253","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 12/13/2023","1"
"Town of Ticonderoga","Essex","North Country","4,789","Not Designated","","Small community","300","• Clean Fleets (100 points) - 1/5/2021 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/26/2021","2"
"Town of Tioga","Tioga","Southern Tier","4,440","Designated CEC","","Small community","1,200","• (Retired) Benchmarking - Advanced Reporting (200 points) - 3/18/2022 
 • Benchmarking - Municipal Buildings (100 points) - 12/15/2021 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 10/26/2021 
 • Unified Solar Permit (200 points) - 12/15/2021","4"
"Town of Tonawanda","Erie","Western New York","72,636","Designated CEC","1-Star","Large community","1,700","• Clean Fleets (100 points) - 11/6/2017 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 3/31/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 11/6/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 9/17/2021 
 • LED Street Lights - Decorative Fixtures (200 points) - 9/17/2021 
 • Light-Duty Electric Vehicles - Tier 1 (300 points) - 10/15/2024 
 • Solarize (0 points) - 10/24/2017 
 • Unified Solar Permit (200 points) - 8/15/2017","8"
"Town of Truxton","Cortland","Central New York","997","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 10/28/2022","1"
"Town of Tully","Onondaga","Central New York","2,676","Designated CEC","","Small community","1,100","• Energy Code Enforcement Training - Leadership Round (200 points) - 5/26/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 10/26/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 9/10/2019 
 • Unified Solar Permit (200 points) - 8/1/2022","4"
"Town of Tupper Lake","Franklin","North Country","5,147","Designated CEC","1-Star","Medium community","2,000","• Benchmarking - Advanced Reporting (300 points) - 3/5/2024 
 • Benchmarking - Municipal Buildings (100 points) - 11/21/2023 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 3/5/2024 
 • Build Ready - Site Nomination (100 points) - 3/5/2024 
 • Electric Landscaping Equipment (200 points) - 10/1/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 11/16/2022 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 5/3/2023 
 • Municipal Clean Fleets Inventory (200 points) - 2/6/2024 
 • Unified Solar Permit (200 points) - 11/21/2023","9"
"Town of Tusten","Sullivan","Mid-Hudson","1,405","Designated CEC","","Small community","2,500","• (Retired) Benchmarking - Advanced Reporting (200 points) - 8/23/2022 
 • Benchmarking - Municipal Buildings (100 points) - 3/17/2017 
 • Clean Energy Upgrades (500 points) - 6/14/2018 
 • Climate Smart Communities Certification - Bronze (600 points) - 10/2/2018 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/28/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 7/27/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 3/9/2021 
 • Unified Solar Permit (200 points) - 8/24/2017","8"
"Town of Tuxedo","Orange","Mid-Hudson","3,811","Designated CEC","1-Star","Small community","2,500","• 50% Conversion of Cobra Head Streetlights (700 points) - 9/30/2024 
 • 50% Conversion of Decorative Streetlights (200 points) - 9/30/2024 
 • CCA >= 50% and < 100% Renewable Default Supply Mix with 100% Opt-up Option (500 points) - 9/17/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 1 (500 points) - 10/9/2024 
 • Community Campaigns - Community Solar - Tier 1 (200 points) - 10/9/2024 
 • Community Campaigns - Electric Vehicles - Tier 1 (200 points) - 10/9/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 11/9/2021","7"
"Town of Tyre","Seneca","Finger Lakes","1,013","Designated CEC","1-Star","Small community","1,000","• Benchmarking - Advanced Reporting (300 points) - 7/16/2024 
 • Energy Code Enforcement Training (300 points) - 3/19/2024 
 • Level 2 Charging Stations - Tier 1 (200 points) - 9/3/2024 
 • Municipal Clean Fleets Inventory (200 points) - 8/20/2024","4"
